Id,Naziv
936,Proteza - reokluzija
935,Proteza - reparatura
762,Provokacijski testovi na alergene za djecu
810,Prvi pregled psihologa za djecu
835,Prvi pregled za bolesti metabolizma - poremećaj lipida
827,Psihijatar - individualna psihoterapija
826,Psihijatar - pregled i površinska psihoterapija
825,Psihijatar - pregled i savjetovanje
34,Psihijatrija - Kontrolni pregled
33,Psihijatrija - Prvi pregled
1251,Psihijatrija - konzultacija bez pacijenta
1091,Psihijatrija - ostali postupci
1040,Psiholog - grupna psihoterapija
831,Psiholog - individualna obrada
830,Psiholog - individualna psihoterapija
1041,Psiholog - rehabilitacija kognitivnih funkcija
829,Psiholog - savjetovanje
832,Psiholog - složena individualna obrada
552,Psihologija - Kontrolni pregled
551,Psihologija - Prvi pregled
1399,Psihoonkološka ambulanta - konzultacija bez pacijenta
1393,Psihoterapija - konzultacija bez pacijenta
828,Psihoterapija u grupi
808,Psihoterapija za djecu
6,Pulmologija - Kontrolni pregled
5,Pulmologija - Prvi pregled
1327,Pulmologija - konzultacija bez pacijenta
761,Punkcija koštane srži za djecu
760,Punkcija limfnog čvora za djecu
645,Punkcija zgloba za djecu
695,RTG abdomena stojeći
694,RTG baze lubanje
867,RTG cervikalne i lumbo sakralne kralježnice
692,RTG cervikalne kralježnice
691,RTG cervikalne kralježnice - funkcionalno
693,RTG cervikotorakalnog prijelaza
869,RTG cijele kralježnice
865,RTG glave - specijalna snimka
688,RTG gležnja
687,RTG grudnih organa
686,RTG grudnih organa ležeći
685,RTG hemitoraksa
684,RTG ključne kosti
683,RTG koljena
682,RTG kostiju lica
473,RTG kostiju u dvije projekcije
681,RTG kraniograma
680,RTG kraniograma - Towne
679,RTG kuka
678,RTG lakta
690,RTG lumbosakralne kralježnice
689,RTG lumbosakralne kralježnice - funkcionalno
677,RTG mandibule
868,RTG mastoida
676,RTG mekih tkiva vrata
675,RTG nadlaktice
674,RTG natkoljenice
673,RTG nosnih kostiju
672,RTG orbite
671,RTG paranazalnih sinusa
670,RTG patele
669,RTG petne kosti
864,RTG piramida po Stenversu
668,RTG podlaktice
667,RTG procjena koštane dobi - šaka
666,RTG prsta ruke
665,RTG ramena
664,RTG ručnog zgloba
662,RTG sakroilijakalnih zglobova
663,RTG sakruma i kokcigisa
661,RTG skafoidne kosti
660,RTG skalpule
472,RTG srca i pluća
659,RTG sternuma
658,RTG stopala
656,RTG temporalnih kostiju
655,RTG temporomandibularnih zglobova
654,RTG torakalne kralježnice
653,RTG turskog sedla
652,RTG urotrakta
651,RTG zdjelice
650,RTG zigomatičnih kostiju
719,RTG zračenje kožne lezije
871,RTG zuba
657,RTG šake
1270,Radiologija - konzultacija bez pacijenta
1110,Radiologija - ostali postupci
943,Radioterapija - CT simulacija
945,Radioterapija - ambulantna
857,Radioterapija - hospitalna
942,Radioterapija - klasična simulacija
